461['0,', '0,', '2,', '-104797202022400']
461['0,', '1,', '2,', '-90824241752746']
461['0,', '2,', '2,', '-76851281483093']
461['0,', '3,', '2,', '-62878321213440']
461['0,', '4,', '2,', '-48905360943786']
461['0,', '5,', '2,', '-34932400674133']
461['0,', '6,', '2,', '-20959440404480']
461['0,', '7,', '2,', '-6986480134826']
461['0,', '8,', '2,', '6986480134826']
461['0,', '9,', '2,', '20959440404480']
461['0,', '10,', '2,', '34932400674133']
461['0,', '11,', '2,', '48905360943786']
461['0,', '12,', '2,', '62878321213440']
461['0,', '13,', '2,', '76851281483093']
461['0,', '14,', '2,', '90824241752746']
461['0,', '15,', '2,', '104797202022400']
461['0,', '0,', '2,', '-48905360943786']
461['0,', '1,', '2,', '-34932400674133']
461['0,', '2,', '2,', '-20959440404480']
461['0,', '3,', '2,', '-6986480134826']
461['0,', '4,', '2,', '6986480134826']
461['0,', '5,', '2,', '20959440404480']
461['0,', '6,', '2,', '34932400674133']
461['0,', '7,', '2,', '48905360943786']
461['0,', '0,', '2,', '-21303037788160']
461['0,', '1,', '2,', '-7101012596053']
461['0,', '2,', '2,', '7101012596053']
461['0,', '3,', '2,', '21303037788160']
461['0,', '0,', '2,', '-19138374270976']
461['0,', '1,', '2,', '-6379458090325']
461['0,', '2,', '2,', '6379458090325']
461['0,', '3,', '2,', '19138374270976']
461['0,', '0,', '2,', '-16978005721088']
461['0,', '1,', '2,', '-5659335240362']
461['0,', '2,', '2,', '5659335240362']
461['0,', '3,', '2,', '16978005721088']
461['0,', '0,', '2,', '-14826227105792']
461['0,', '1,', '2,', '-4942075701930']
461['0,', '2,', '2,', '4942075701930']
461['0,', '3,', '2,', '14826227105792']
461['0,', '0,', '2,', '-12695923326976']
461['0,', '1,', '2,', '-4231974442325']
461['0,', '2,', '2,', '4231974442325']
461['0,', '3,', '2,', '12695923326976']
461['0,', '0,', '2,', '-7058062923093']
461['0,', '1,', '2,', '7058062923093']
461['0,', '0,', '2,', '-5646450338474']
461['0,', '1,', '2,', '5646450338474']
461['0,', '0,', '2,', '-4209067950080']
461['0,', '1,', '2,', '4209067950080']
