61['TX', 'LTE.TxMain.1', 'antenna1a']
61['TX', 'LTE.TxMain.2', 'antenna1a']
1034['PaPsuBiasWisdomCalculator::PaPsuBiasId=0', 'disabled', 'PsuId=0']
1034['PaPsuBiasWisdomCalculator::PaPsuBiasId=0', 'disabled', 'PsuId=0']
1034['PaPsuBiasWisdomCalculator::PaPsuBiasId=0', 'disabled', 'PsuId=2']
1034['PaPsuBiasWisdomCalculator::PaPsuBiasId=0', 'disabled', 'PsuId=2']
1035[]
1034['PaPsuBiasWisdomCalculator::PaPsuBias=0', 'enabled', 'PsuId=0']
1036['PaPsuId:0,', 'PaPsuBiasId:0.']
1034['PaPsuBiasWisdomCalculator::PaPsuBias=0', 'enabled', 'PsuId=0']
1036['PaPsuId:0,', 'PaPsuBiasId:0.']
