59['TX', 'carrierTx1', 'antenna1a', 'antenna1a']
59['RX', 'carrierRx1', 'antenna1a', 'antenna1a']
59['TX', 'carrierTx2', 'antenna2a', 'antenna2a']
59['RX', 'carrierRx2', 'antenna2a', 'antenna2a']
59['TX', 'carrierTx3', 'antenna3a', 'antenna3a']
59['RX', 'carrierRx3', 'antenna3a', 'antenna3a']
59['TX', 'carrierTx4', 'antenna4a', 'antenna4a']
59['RX', 'carrierRx4', 'antenna4a', 'antenna4a']
59['TX', 'carrierTx5', 'antenna1a', 'antenna1a']
59['RX', 'carrierRx5', 'antenna1a', 'antenna1a']
59['TX', 'carrierTx6', 'antenna2a', 'antenna2a']
59['RX', 'carrierRx6', 'antenna2a', 'antenna2a']
59['TX', 'carrierTx7', 'antenna3a', 'antenna3a']
59['RX', 'carrierRx7', 'antenna3a', 'antenna3a']
59['TX', 'carrierTx8', 'antenna4a', 'antenna4a']
59['RX', 'carrierRx8', 'antenna4a', 'antenna4a']
60['carrierRx1', 'antenna1a', '0', '0', 'direction:0']
60['carrierRx2', 'antenna2a', '4', '2', 'direction:0']
60['carrierRx3', 'antenna3a', '32', '8', 'direction:0']
60['carrierRx4', 'antenna4a', '36', '10', 'direction:0']
60['carrierRx5', 'antenna1a', '30', '0', 'direction:0']
60['carrierRx6', 'antenna2a', '28', '2', 'direction:0']
60['carrierRx7', 'antenna3a', '62', '8', 'direction:0']
60['carrierRx8', 'antenna4a', '60', '10', 'direction:0']
60['carrierTx1', 'antenna1a', '0', '0', 'direction:1']
60['carrierTx2', 'antenna2a', '2', '2', 'direction:1']
60['carrierTx3', 'antenna3a', '16', '4', 'direction:1']
60['carrierTx4', 'antenna4a', '18', '6', 'direction:1']
60['carrierTx5', 'antenna1a', '15', '0', 'direction:1']
60['carrierTx6', 'antenna2a', '14', '2', 'direction:1']
60['carrierTx7', 'antenna3a', '31', '4', 'direction:1']
60['carrierTx8', 'antenna4a', '30', '6', 'direction:1']
