61['RX', 'carrierRx1antenna1a', 'antenna1a']
61['RX', 'carrierRx2antenna1a', 'antenna1a']
61['RX', 'carrierRx3antenna1a', 'antenna1a']
61['RX', 'carrierRx4antenna1a', 'antenna1a']
61['TX', 'carrierTx1antenna1a', 'antenna1a']
61['TX', 'carrierTx2antenna1a', 'antenna1a']
61['TX', 'carrierTx3antenna1a', 'antenna1a']
61['TX', 'carrierTx4antenna1a', 'antenna1a']
61['RX', 'carrierRx1antenna2a', 'antenna2a']
61['RX', 'carrierRx2antenna2a', 'antenna2a']
61['RX', 'carrierRx3antenna2a', 'antenna2a']
61['RX', 'carrierRx4antenna2a', 'antenna2a']
61['TX', 'carrierTx1antenna2a', 'antenna2a']
61['TX', 'carrierTx2antenna2a', 'antenna2a']
61['TX', 'carrierTx3antenna2a', 'antenna2a']
61['TX', 'carrierTx4antenna2a', 'antenna2a']
61['RX', 'carrierRx1antenna3a', 'antenna3a']
61['RX', 'carrierRx2antenna3a', 'antenna3a']
61['RX', 'carrierRx3antenna3a', 'antenna3a']
61['RX', 'carrierRx4antenna3a', 'antenna3a']
61['TX', 'carrierTx1antenna3a', 'antenna3a']
61['TX', 'carrierTx2antenna3a', 'antenna3a']
61['TX', 'carrierTx3antenna3a', 'antenna3a']
61['TX', 'carrierTx4antenna3a', 'antenna3a']
61['RX', 'carrierRx1antenna4a', 'antenna4a']
61['RX', 'carrierRx2antenna4a', 'antenna4a']
61['RX', 'carrierRx3antenna4a', 'antenna4a']
61['RX', 'carrierRx4antenna4a', 'antenna4a']
61['TX', 'carrierTx1antenna4a', 'antenna4a']
61['TX', 'carrierTx2antenna4a', 'antenna4a']
61['TX', 'carrierTx3antenna4a', 'antenna4a']
61['TX', 'carrierTx4antenna4a', 'antenna4a']
62['carrierRx1antenna1a', '30', '0', 'direction:0']
62['carrierRx2antenna1a', '28', '2', 'direction:0']
62['carrierRx3antenna1a', '62', '8', 'direction:0']
62['carrierRx4antenna1a', '60', '10', 'direction:0']
62['carrierRx1antenna2a', '26', '0', 'direction:0']
62['carrierRx2antenna2a', '24', '2', 'direction:0']
62['carrierRx3antenna2a', '58', '8', 'direction:0']
62['carrierRx4antenna2a', '56', '10', 'direction:0']
62['carrierRx1antenna3a', '22', '0', 'direction:0']
62['carrierRx2antenna3a', '20', '2', 'direction:0']
62['carrierRx3antenna3a', '54', '8', 'direction:0']
62['carrierRx4antenna3a', '52', '10', 'direction:0']
62['carrierRx1antenna4a', '18', '0', 'direction:0']
62['carrierRx2antenna4a', '16', '2', 'direction:0']
62['carrierRx3antenna4a', '50', '8', 'direction:0']
62['carrierRx4antenna4a', '48', '10', 'direction:0']
62['carrierTx1antenna1a', '15', '0', 'direction:1']
62['carrierTx2antenna1a', '14', '2', 'direction:1']
62['carrierTx3antenna1a', '31', '4', 'direction:1']
62['carrierTx4antenna1a', '30', '6', 'direction:1']
62['carrierTx1antenna2a', '13', '0', 'direction:1']
62['carrierTx2antenna2a', '12', '2', 'direction:1']
62['carrierTx3antenna2a', '29', '4', 'direction:1']
62['carrierTx4antenna2a', '28', '6', 'direction:1']
62['carrierTx1antenna3a', '11', '0', 'direction:1']
62['carrierTx2antenna3a', '10', '2', 'direction:1']
62['carrierTx3antenna3a', '27', '4', 'direction:1']
62['carrierTx4antenna3a', '26', '6', 'direction:1']
62['carrierTx1antenna4a', '9', '0', 'direction:1']
62['carrierTx2antenna4a', '8', '2', 'direction:1']
62['carrierTx3antenna4a', '25', '4', 'direction:1']
62['carrierTx4antenna4a', '24', '6', 'direction:1']
