61['RX', 'carrierRx1antenna1a', 'antenna1a']
61['RX', 'carrierRx2antenna1a', 'antenna1a']
61['TX', 'carrierTx1antenna1a', 'antenna1a']
61['TX', 'carrierTx2antenna1a', 'antenna1a']
61['RX', 'carrierRx1antenna2a', 'antenna2a']
61['RX', 'carrierRx2antenna2a', 'antenna2a']
61['TX', 'carrierTx1antenna2a', 'antenna2a']
61['TX', 'carrierTx2antenna2a', 'antenna2a']
61['RX', 'carrierRx1antenna3a', 'antenna3a']
61['RX', 'carrierRx2antenna3a', 'antenna3a']
61['TX', 'carrierTx1antenna3a', 'antenna3a']
61['TX', 'carrierTx2antenna3a', 'antenna3a']
61['RX', 'carrierRx1antenna4a', 'antenna4a']
61['RX', 'carrierRx2antenna4a', 'antenna4a']
61['TX', 'carrierTx1antenna4a', 'antenna4a']
61['TX', 'carrierTx2antenna4a', 'antenna4a']
62['carrierRx1antenna1a', '0', '0', 'direction:0']
62['carrierRx1antenna2a', '4', '0', 'direction:0']
62['carrierRx1antenna3a', '8', '0', 'direction:0']
62['carrierRx1antenna4a', '12', '0', 'direction:0']
62['carrierRx2antenna1a', '16', '0', 'direction:0']
62['carrierRx2antenna2a', '20', '0', 'direction:0']
62['carrierRx2antenna3a', '24', '0', 'direction:0']
62['carrierRx2antenna4a', '28', '0', 'direction:0']
62['carrierTx1antenna1a', '0', '0', 'direction:1']
62['carrierTx1antenna2a', '2', '0', 'direction:1']
62['carrierTx1antenna3a', '4', '0', 'direction:1']
62['carrierTx1antenna4a', '6', '0', 'direction:1']
62['carrierTx2antenna1a', '8', '0', 'direction:1']
62['carrierTx2antenna2a', '10', '0', 'direction:1']
62['carrierTx2antenna3a', '12', '0', 'direction:1']
62['carrierTx2antenna4a', '14', '0', 'direction:1']
